steps,episode,total_return,episode_len,episode_return
100,1,1.1,100,1.1
200,2,2.1,100,1.0
300,3,3.2,100,1.1
400,4,4.300000000000001,100,1.1
500,5,5.4,100,1.1
600,6,6.5,100,1.1
700,7,7.6,100,1.1
800,8,8.7,100,1.1
900,9,9.799999999999999,100,1.1
1000,10,10.899999999999999,100,1.1
1200,12,13.099999999999998,100,1.1
1400,14,15.299999999999997,100,1.1
1700,17,18.6,100,1.1
2000,20,21.900000000000006,100,1.1
2500,25,27.400000000000013,100,1.1
3000,30,32.90000000000002,100,1.1
4000,40,43.900000000000034,100,1.1
5000,50,54.90000000000005,100,1.1
6000,60,65.90000000000005,100,1.1
7000,70,76.89999999999999,100,1.1
8000,80,87.89999999999993,100,1.1
9000,90,98.89999999999988,100,1.1
10000,100,109.89999999999982,100,1.1
12000,120,131.89999999999972,100,1.1
14000,140,153.8999999999996,100,1.1
17000,170,186.89999999999944,100,1.1
20000,200,219.89999999999927,100,1.1
25000,250,274.89999999999947,100,1.1
30000,300,329.9000000000006,100,1.1
40000,400,439.9000000000029,100,1.1
50000,500,549.9000000000051,100,1.1
60000,600,659.9000000000074,100,1.1
70000,700,769.9000000000096,100,1.1
80000,800,879.9000000000119,100,1.1
90000,900,989.9000000000142,100,1.1
100000,1000,1099.9000000000085,100,1.1
