steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1000.0,1000,-1000.0,-1000.0
2000,2,-2000.0,1000,-1000.0,-2000.0
3000,3,-3000.0,1000,-1000.0,-3000.0
4000,4,-4000.0,1000,-1000.0,-4000.0
5000,5,-5000.0,1000,-1000.0,-5000.0
6000,6,-6000.0,1000,-1000.0,-6000.0
7000,7,-7000.0,1000,-1000.0,-7000.0
8000,8,-8000.0,1000,-1000.0,-8000.0
9000,9,-9000.0,1000,-1000.0,-9000.0
10000,10,-10000.0,1000,-1000.0,-10000.0
12000,12,-12000.0,1000,-1000.0,-12000.0
14000,14,-14000.0,1000,-1000.0,-14000.0
17000,17,-17000.0,1000,-1000.0,-17000.0
20000,20,-20000.0,1000,-1000.0,-20000.0
25000,25,-25000.0,1000,-1000.0,-25000.0
30000,30,-30000.0,1000,-1000.0,-30000.0
40000,40,-40000.0,1000,-1000.0,-40000.0
50000,50,-50000.0,1000,-1000.0,-50000.0
60000,60,-60000.0,1000,-1000.0,-60000.0
69001,70,-69001.0,1000,-1000.0,-69001.0
78292,80,-78292.0,1000,-1000.0,-78292.0
86721,90,-86721.0,501,-501.0,-86721.0
95635,100,-95635.0,1000,-1000.0,-95635.0
113739,120,-113739.0,796,-796.0,-113739.0
128584,140,-128584.0,404,-404.0,-128584.0
151400,170,-151400.0,1000,-1000.0,-151400.0
171810,200,-171810.0,1000,-1000.0,-171810.0
203479,250,-203479.0,354,-354.0,-203479.0
230222,300,-230222.0,372,-372.0,-230222.0
275125,400,-275125.0,899,-899.0,-275125.0
313701,500,-313701.0,280,-280.0,-313701.0
348750,600,-348750.0,453,-453.0,-348750.0
383456,700,-383456.0,436,-436.0,-383456.0
412840,800,-412840.0,342,-342.0,-412840.0
440248,900,-440248.0,359,-359.0,-440248.0
470354,1000,-470354.0,461,-461.0,-470354.0
521348,1200,-521348.0,213,-213.0,-521348.0
567334,1400,-567334.0,306,-306.0,-567334.0
641573,1700,-641573.0,195,-195.0,-641573.0
760180,2000,-760180.0,198,-198.0,-760180.0
