steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.0,100,1.0
300,3,3.1,100,1.1
400,4,4.1,100,1.0
500,5,5.199999999999999,100,1.1
600,6,6.199999999999999,100,1.0
700,7,7.299999999999999,100,1.1
800,8,8.399999999999999,100,1.1
900,9,9.399999999999999,100,1.0
1000,10,10.499999999999998,100,1.1
1200,12,12.599999999999998,100,1.1
1400,14,14.599999999999998,100,1.0
1700,17,17.799999999999997,100,1.1
2000,20,20.9,100,1.0
2500,25,26.1,100,1.0
3000,30,31.200000000000003,100,1.1
4000,40,41.50000000000001,100,1.0
5000,50,51.60000000000001,100,1.0
6000,60,62.000000000000014,100,1.1
7000,70,72.3,100,1.0
8000,80,82.69999999999997,100,1.0
9000,90,93.09999999999995,100,1.1
10000,100,103.39999999999993,100,1.0
12000,120,123.69999999999992,100,1.0
14000,140,144.1999999999999,100,1.0
17000,170,175.29999999999984,100,1.0
20000,200,206.0999999999998,100,1.0
25000,250,257.39999999999975,100,1.1
30000,300,308.80000000000007,100,1.0
40000,400,411.40000000000066,100,1.0
50000,500,513.6000000000012,100,1.1
60000,600,620.9000000000028,100,1.1
70000,700,730.300000000005,100,1.1
80000,800,840.0000000000072,100,1.1
90000,900,949.5000000000093,100,1.1
100000,1000,1059.2000000000078,100,1.1
