steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-995.3989546629267,1000,-995.3989546629267,-1000.0
2000,2,-1997.029600381527,1000,-1001.6306457186002,-2000.0
3000,3,-2999.880792614476,1000,-1002.8511922329468,-3000.0
4000,4,-3995.973024174371,1000,-996.0922315598917,-4000.0
5000,5,-4997.13246216596,1000,-1001.1594379915973,-5000.0
6000,6,-6002.488363674801,1000,-1005.3559015088414,-6000.0
7000,7,-7005.638608531729,1000,-1003.1502448569372,-7000.0
8000,8,-8007.244625054977,1000,-1001.6060165232597,-8000.0
9000,9,-9005.096394723583,1000,-997.8517696685973,-9000.0
10000,10,-10005.408420603108,1000,-1000.312025879509,-10000.0
12000,12,-12005.882555732902,1000,-1003.6843793667979,-12000.0
14000,14,-14010.451671754976,1000,-1000.8493110170509,-14000.0
17000,17,-17012.541654116016,1000,-995.1022867066731,-17000.0
20000,20,-20013.26018924981,1000,-1000.5288840337729,-20000.0
25000,25,-25013.961457902114,1000,-1002.7683196684552,-25000.0
30000,30,-30022.24222499897,1000,-1000.6783621335703,-30000.0
40000,40,-40021.18545054458,1000,-996.2276984407764,-40000.0
50000,50,-50027.5312984315,1000,-1002.878761232233,-50000.0
60000,60,-60038.47895114366,1000,-997.6783008520716,-60000.0
70000,70,-70029.09591140064,1000,-1003.6637232559797,-70000.0
80000,80,-80026.32207218734,1000,-1002.0115622311081,-80000.0
89641,90,-89662.81510022368,1000,-1001.008711060224,-89641.0
97490,100,-97506.964352432,745,-746.3199391907854,-97490.0
114087,120,-114112.50474398029,1000,-993.2267573321527,-114087.0
130063,140,-130086.5578115881,415,-413.34037808915485,-130063.0
152693,170,-152676.87230890954,564,-561.3103680897708,-152693.0
177331,200,-177324.75896058517,1000,-1002.9081865992523,-177331.0
209424,250,-209392.0619502563,190,-189.55724027277165,-209424.0
241443,300,-241407.65040323953,1000,-993.6737570901953,-241443.0
301662,400,-301628.86989594897,1000,-1002.5266841728638,-301662.0
353896,500,-353836.95094117,549,-547.8323831041182,-353896.0
401451,600,-401406.68913711415,697,-699.9365475987946,-401451.0
442706,700,-442676.59594624344,788,-787.8526112788849,-442706.0
486249,800,-486250.9660132347,582,-577.6960610016616,-486249.0
518981,900,-518948.61707173835,729,-727.2019682053918,-518981.0
553608,1000,-553577.1843269623,302,-300.4282429808294,-553608.0
608734,1200,-608717.7377234912,176,-176.88150457523162,-608734.0
662347,1400,-662361.3598794156,151,-150.33386208177993,-662347.0
768758,1700,-768764.0673404363,333,-332.653743059319,-768758.0
963130,2000,-963130.1754332279,801,-789.503643098527,-963130.0
