steps,episode,total_return,episode_len,episode_return,raw_return
1000,1,-1.0000000000000007,1000,-1.0000000000000007,-1000.0
2000,2,-1.9999999999998905,1000,-1.0000000000000007,-2000.0
3000,3,-2.9999999999997806,1000,-1.0000000000000007,-3000.0
4000,4,-3.9999999999996705,1000,-1.0000000000000007,-4000.0
5000,5,-5.000000000000004,1000,-1.0000000000000007,-5000.0
6000,6,-6.000000000000338,1000,-1.0000000000000007,-6000.0
7000,7,-7.000000000000672,1000,-1.0000000000000007,-7000.0
8000,8,-8.000000000001005,1000,-1.0000000000000007,-8000.0
9000,9,-9.000000000000451,1000,-1.0000000000000007,-9000.0
10000,10,-9.999999999999897,1000,-1.0000000000000007,-10000.0
12000,12,-11.999999999998789,1000,-1.0000000000000007,-12000.0
14000,14,-13.99999999999768,1000,-1.0000000000000007,-14000.0
17000,17,-16.999999999997794,1000,-1.0000000000000007,-17000.0
20000,20,-20.00000000000146,1000,-1.0000000000000007,-20000.0
25000,25,-25.00000000000757,1000,-1.0000000000000007,-25000.0
30000,30,-30.00000000001368,1000,-1.0000000000000007,-30000.0
40000,40,-39.99999999999748,1000,-1.0000000000000007,-40000.0
50000,50,-49.99999999997417,1000,-1.0000000000000007,-50000.0
60000,60,-59.999999999950866,1000,-1.0000000000000007,-60000.0
70000,70,-69.99999999997019,1000,-1.0000000000000007,-70000.0
80000,80,-80.00000000001793,1000,-1.0000000000000007,-80000.0
90000,90,-90.00000000006568,1000,-1.0000000000000007,-90000.0
100000,100,-100.00000000011343,1000,-1.0000000000000007,-100000.0
119291,120,-119.29100000020554,1000,-1.0000000000000007,-119291.0
139291,140,-139.29100000030104,1000,-1.0000000000000007,-139291.0
169291,170,-169.29100000044428,1000,-1.0000000000000007,-169291.0
197972,200,-197.97200000058123,1000,-1.0000000000000007,-197972.0
247972,250,-247.97200000081997,1000,-1.0000000000000007,-247972.0
297972,300,-297.9719999998658,1000,-1.0000000000000007,-297972.0
397907,400,-397.9069999975026,1000,-1.0000000000000007,-397907.0
476710,500,-476.7099999956392,277,-0.2770000000000002,-476710.0
557666,600,-557.6659999937249,1000,-1.0000000000000007,-557666.0
646873,700,-646.8729999916154,1000,-1.0000000000000007,-646873.0
730510,800,-730.5099999896377,722,-0.7220000000000005,-730510.0
790437,900,-790.4369999882206,293,-0.2930000000000002,-790437.0
838498,1000,-838.4979999870841,523,-0.5230000000000004,-838498.0
914621,1200,-914.620999985284,317,-0.3170000000000002,-914621.0
984773,1400,-984.7729999836251,414,-0.4140000000000003,-984773.0
