steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.1,100,1.0
500,5,5.1,100,1.0
600,6,6.1,100,1.0
700,7,7.1,100,1.0
800,8,8.1,100,1.0
900,9,9.1,100,1.0
1000,10,10.1,100,1.0
1200,12,12.1,100,1.0
1400,14,14.1,100,1.0
1700,17,17.1,100,1.0
2000,20,20.200000000000003,100,1.1
2500,25,25.400000000000006,100,1.1
3000,30,30.400000000000006,100,1.0
4000,40,40.60000000000001,100,1.1
5000,50,50.60000000000001,100,1.0
6000,60,60.90000000000001,100,1.0
7000,70,71.0,100,1.0
8000,80,81.29999999999998,100,1.0
9000,90,91.49999999999997,100,1.0
10000,100,101.59999999999997,100,1.0
12000,120,121.59999999999997,100,1.0
14000,140,141.59999999999997,100,1.0
17000,170,171.69999999999996,100,1.0
20000,200,201.69999999999996,100,1.0
25000,250,251.69999999999996,100,1.0
30000,300,301.69999999999993,100,1.0
40000,400,401.79999999999995,100,1.0
50000,500,501.79999999999995,100,1.0
60000,600,601.9,100,1.0
70000,700,702.1,100,1.0
80000,800,802.2,100,1.0
90000,900,902.3000000000001,100,1.0
100000,1000,1002.3000000000001,100,1.0
