steps,episode,total_return,episode_len,episode_return
100,1,1.0,100,1.0
200,2,2.1,100,1.1
300,3,3.1,100,1.0
400,4,4.2,100,1.1
500,5,5.2,100,1.0
600,6,6.2,100,1.0
700,7,7.300000000000001,100,1.1
800,8,8.3,100,1.0
900,9,9.3,100,1.0
1000,10,10.3,100,1.0
1200,12,12.4,100,1.0
1400,14,14.5,100,1.0
1700,17,17.6,100,1.1
2000,20,20.800000000000004,100,1.1
2500,25,25.900000000000006,100,1.0
3000,30,31.000000000000007,100,1.0
4000,40,41.30000000000001,100,1.1
5000,50,51.500000000000014,100,1.0
6000,60,61.500000000000014,100,1.0
7000,70,71.50000000000001,100,1.0
8000,80,81.50000000000001,100,1.0
9000,90,91.50000000000001,100,1.0
10000,100,101.50000000000001,100,1.0
12000,120,122.89999999999993,100,1.1
14000,140,144.89999999999984,100,1.1
17000,170,177.79999999999967,100,1.1
20000,200,210.5999999999995,100,1.1
25000,250,265.4999999999995,100,1.1
30000,300,320.5000000000006,100,1.1
40000,400,430.1000000000028,100,1.1
50000,500,539.800000000005,100,1.1
60000,600,649.1000000000071,100,1.1
70000,700,758.7000000000093,100,1.1
80000,800,868.4000000000115,100,1.1
90000,900,978.0000000000136,100,1.1
100000,1000,1087.5000000000095,100,1.1
